Frame,Name,X,Y,Z,Score
3564,RIGHT_ANKLE,0.309796721,0.387802124,-0.00204724,0.86539638
3564,LEFT_HEEL,0.259243965,0.341821343,0.0085653,0.831464767
3564,RIGHT_HEEL,0.307829916,0.380785823,0.002977716,0.814886034
3564,LEFT_FOOT_INDEX,0.24800773,0.331773758,-0.040143281,0.863704383
3564,RIGHT_FOOT_INDEX,0.313593894,0.367696851,-0.038273908,0.876354039
3568,LEFT_HIP,0.296887189,0.607660651,0.057579964,0.99941659
3568,RIGHT_HIP,0.290697664,0.640463412,-0.057664834,0.999341905
3568,LEFT_KNEE,0.324545234,0.62546283,0.005418094,0.849024534
3568,RIGHT_KNEE,0.328557968,0.683262527,-0.127683297,0.829665482
3568,LEFT_ANKLE,0.307686538,0.732930243,0.079051919,0.846828341
3568,RIGHT_ANKLE,0.30404073,0.751107335,-0.025194541,0.872764766
3568,LEFT_HEEL,0.300593555,0.742766082,0.086831473,0.823972583
3568,RIGHT_HEEL,0.293062985,0.754925013,-0.013380992,0.825738728
3568,LEFT_FOOT_INDEX,0.313350946,0.767716467,0.0723079,0.85809958
3568,RIGHT_FOOT_INDEX,0.313441753,0.786581755,-0.021968886,0.882183552
5676,LEFT_HIP,0.501606107,-0.179619148,-0.041757233,0.973675549
5676,RIGHT_HIP,0.629902899,-0.191166416,0.040646084,0.981834352
5676,LEFT_KNEE,0.43533498,0.317958295,0.019971028,0.802558899
5676,RIGHT_KNEE,0.66860038,0.290935785,0.145808578,0.872399628
5676,LEFT_ANKLE,0.428283632,0.753126979,0.052015532,0.854500592
5676,RIGHT_ANKLE,0.662381291,0.735043645,0.283141226,0.880996287
5676,LEFT_HEEL,0.436357886,0.82363832,0.06615378,0.882815719
5676,RIGHT_HEEL,0.661382079,0.799276114,0.302073777,0.910996437
5676,LEFT_FOOT_INDEX,0.421677053,0.828154683,-0.130795777,0.852429986
5676,RIGHT_FOOT_INDEX,0.64576143,0.839010715,0.194780797,0.812270105
5677,LEFT_HIP,0.496746629,-0.196447775,-0.040087007,0.969442189
5677,RIGHT_HIP,0.629402518,-0.221556067,0.039055735,0.976830125
5677,LEFT_KNEE,0.417815596,0.290453583,-0.01153999,0.813659012
5677,RIGHT_KNEE,0.668833613,0.274379283,0.124932505,0.87647146
5677,LEFT_ANKLE,0.42317158,0.751675606,0.012008257,0.865723789
5677,RIGHT_ANKLE,0.658220112,0.741646349,0.207275957,0.885419726
5677,LEFT_HEEL,0.435381472,0.822448909,0.013989424,0.892000675
5677,RIGHT_HEEL,0.672614276,0.808516681,0.215077668,0.915133417
5677,LEFT_FOOT_INDEX,0.412474215,0.839233041,-0.146158874,0.8610847
5677,RIGHT_FOOT_INDEX,0.646299839,0.84230417,0.101658665,0.809703469
11111,LEFT_HIP,0.824710071,0.578562558,-0.019673612,0.999444902
11111,RIGHT_HIP,0.838033497,0.608481705,0.019452605,0.999372363
11111,LEFT_KNEE,0.775815368,0.533427835,0.081623122,0.877154827
11111,RIGHT_KNEE,0.830780506,0.716568232,0.049379878,0.830828428
11111,LEFT_ANKLE,0.74029243,0.545403898,0.18731001,0.892154396
11111,RIGHT_ANKLE,0.819010913,0.852600634,0.022595264,0.861409128
11111,LEFT_HEEL,0.736667275,0.552711487,0.201869205,0.878419816
11111,RIGHT_HEEL,0.81208688,0.874857426,0.022130456,0.8130458
11111,LEFT_FOOT_INDEX,0.727199435,0.538088202,0.215299442,0.881462514
11111,RIGHT_FOOT_INDEX,0.825338066,0.889913023,0.009548005,0.855497062
11112,LEFT_HIP,0.830908,0.605608404,-0.027438048,0.999475121
11112,RIGHT_HIP,0.822378933,0.600984275,0.027405795,0.999361157
11112,LEFT_KNEE,0.800887227,0.646867216,-0.103256024,0.875938237
11112,RIGHT_KNEE,0.792170346,0.60247314,-0.01268585,0.805848002
11112,LEFT_ANKLE,0.810603917,0.733766317,0.02669022,0.890768349
11112,RIGHT_ANKLE,0.787312806,0.701840401,0.051830828,0.835822523
11112,LEFT_HEEL,0.815953135,0.726010203,0.006114583,0.87561959
11112,RIGHT_HEEL,0.791410565,0.718187571,0.060982458,0.800512731
11112,LEFT_FOOT_INDEX,0.80578506,0.791134477,0.002623658,0.880437732
11112,RIGHT_FOOT_INDEX,0.772024214,0.732099175,0.022611357,0.836350918
11114,LEFT_HIP,0.827674389,0.628889322,0.047415834,0.99930656
11114,RIGHT_HIP,0.796186566,0.600799263,-0.047363613,0.999297082
11114,LEFT_KNEE,0.837830901,0.754104376,-0.041704275,0.865154445
11114,RIGHT_KNEE,0.792567432,0.698020995,-0.193861693,0.81821835
11114,LEFT_ANKLE,0.852108777,0.900097251,0.025090927,0.880092204
11114,RIGHT_ANKLE,0.760782659,0.862987697,-0.096906438,0.839469612
11114,LEFT_HEEL,0.846317172,0.921334863,0.027455669,0.86426121
11114,RIGHT_HEEL,0.754344285,0.887919784,-0.090467595,0.801710963
11114,LEFT_FOOT_INDEX,0.875998497,0.95849973,-0.047496233,0.87873733
11114,RIGHT_FOOT_INDEX,0.766586185,0.921656966,-0.194595784,0.842844069
11115,LEFT_HIP,0.822515845,0.632000327,0.063984789,0.999240518
11115,RIGHT_HIP,0.794775844,0.60279721,-0.063911922,0.999326289
11115,LEFT_KNEE,0.835767865,0.751299381,0.024394995,0.833831549
11115,RIGHT_KNEE,0.792181611,0.740607679,-0.147962287,0.828988671
11115,LEFT_ANKLE,0.84610194,0.894263208,0.067079559,0.853439033
11115,RIGHT_ANKLE,0.760018468,0.8939147,-0.094998308,0.849113226
11115,LEFT_HEEL,0.840015411,0.918935716,0.068253227,0.846101046
11115,RIGHT_HEEL,0.752648056,0.924012601,-0.093331113,0.81134212
11115,LEFT_FOOT_INDEX,0.872196198,0.952317953,-0.003157296,0.871358693
11115,RIGHT_FOOT_INDEX,0.770271301,0.95321393,-0.196285084,0.852385342
13930,LEFT_HIP,0.447723091,0.574693799,-0.008951181,0.967041373
13930,RIGHT_HIP,0.402570903,0.563059747,0.009012683,0.96790272
13930,LEFT_KNEE,0.443005979,0.723572612,-0.161108866,0.899022937
13930,RIGHT_KNEE,0.369218409,0.685109794,-0.162330255,0.940412283
13930,LEFT_ANKLE,0.429764897,0.897010565,-0.13265118,0.900458455
13930,RIGHT_ANKLE,0.359262735,0.897261143,-0.13162668,0.931001186
13930,LEFT_HEEL,0.42764765,0.921331048,-0.135080695,0.803777575
13930,RIGHT_HEEL,0.379138589,0.927883387,-0.130584717,0.823678553
13930,LEFT_FOOT_INDEX,0.445754677,0.950313151,-0.230823785,0.893407345
13930,RIGHT_FOOT_INDEX,0.330833018,0.960104227,-0.215010568,0.91245687
13931,LEFT_HIP,0.443744838,0.574069202,-0.008990603,0.970210075
13931,RIGHT_HIP,0.402080774,0.562624574,0.00904567,0.971034169
13931,LEFT_KNEE,0.444839954,0.720295012,-0.158781916,0.902577817
13931,RIGHT_KNEE,0.369050682,0.684738636,-0.161427155,0.943482459
13931,LEFT_ANKLE,0.430397451,0.898403943,-0.157285661,0.905217588
13931,RIGHT_ANKLE,0.358675629,0.897200525,-0.14821507,0.934675515
13931,LEFT_HEEL,0.427698791,0.922369063,-0.162084132,0.809320688
13931,RIGHT_HEEL,0.378842562,0.927819252,-0.148848251,0.828885555
13931,LEFT_FOOT_INDEX,0.44575572,0.950443506,-0.254070938,0.898777306
13931,RIGHT_FOOT_INDEX,0.330431521,0.9602229,-0.226179168,0.917449772
13932,LEFT_HIP,0.445712417,0.571582556,-0.010331681,0.97311461
